Target_genes	CREBBP|Average	SRX359408|293	SRX359409|293	SRX359410|293	SRX359411|293	SRX660077|Adipose-Derived_Mesenchymal_Stem_Cells	SRX660078|Adipose-Derived_Mesenchymal_Stem_Cells	SRX2339191|B-Lymphocytes	SRX2339193|B-Lymphocytes	SRX017698|CD4-Positive_T-Lymphocytes	SRX100258|H3396	SRX100259|H3396	SRX100261|H3396	SRX100262|H3396	SRX100263|H3396	SRX100264|H3396	SRX3324957|IMR-90	SRX3324958|IMR-90	SRX3324959|IMR-90	SRX3324960|IMR-90	SRX015827|Jurkat_(Clone_E6-1)	SRX116429|K-562	SRX186770|K-562	SRX7214024|Keratinocytes	SRX7214025|Keratinocytes	SRX7214026|Keratinocytes	SRX7214027|Keratinocytes	SRX159188|LS-180	SRX159189|LS-180	SRX5839976|Macrophages	SRX5839977|Macrophages	SRX5839978|Macrophages	SRX5839979|Macrophages	SRX5162246|Placenta	SRX5162247|Placenta	SRX5162248|Placenta	SRX018277|T98G	SRX018280|T98G	SRX018281|T98G	STRING
SLPI	49.368421	0	0	0	0	0	0	0	0	0	0	184	0	159	0	0	0	0	0	0	0	0	0	441	703	146	243	0	0	0	0	0	0	0	0	0	0	0	0	0
DSTN	49.368421	181	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	299	101	193	0	0	0	0	0	0	0	0	0	0	0	719	0
ZNF143	49.315789	415	378	193	0	0	0	169	181	94	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0
NWD1	49.315789	0	0	0	0	0	0	146	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	506	113	417	0	0	0	0	0	0	0	0	0	0	0	150	0
DHTKD1	49.315789	266	366	0	0	0	0	343	522	244	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC5	49.315789	279	181	0	0	0	0	232	544	101	0	0	0	0	0	0	0	212	145	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf58	49.289474	231	331	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	143	285	103	77	0	0	0	0	0	0	0	0	0	0	0	0	0
GTPBP8	49.263158	322	286	126	0	0	0	332	371	0	0	0	0	0	0	0	0	0	0	0	99	0	0	79	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAP	49.236842	286	307	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	174	283	0	117	0	0	313	196	0	0	0	0	0	0	0	0	0
SPNS1	49.210526	275	256	173	0	146	128	127	147	0	0	0	0	0	0	0	143	253	111	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATS2	49.210526	312	387	214	0	0	0	348	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRP2	49.210526	0	0	0	0	0	0	559	736	258	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A8	49.184211	195	267	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	300	0	170	0	0	272	89	61	0	0	0	0	0	0	224	0
RPS13	49.184211	336	378	114	0	0	0	0	165	355	0	0	0	0	0	0	0	182	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0
SNRPD2	49.157895	188	215	96	0	0	0	605	661	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QPCTL	49.157895	188	215	96	0	0	0	605	661	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPM	49.157895	188	207	0	0	0	0	287	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	262	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0
ATF1	49.157895	224	265	165	0	151	0	228	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	131	147	0	0	0	0	0	0	0	0	0	0	0	0	0
ICE1	49.131579	214	239	131	0	0	0	174	254	103	0	0	0	0	0	0	0	98	0	0	0	0	0	147	274	89	144	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTAN1	49.105263	508	483	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	337	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM3B	49.105263	421	635	0	0	0	0	243	325	108	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IER5	49.105263	282	264	193	0	0	0	0	563	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	152	142	0	104	0	0	0	0	0	0	0
NOTCH2	49.078947	406	716	208	0	0	0	0	78	123	0	102	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0
IARS1	49.078947	207	210	106	0	0	0	0	0	140	0	0	0	0	0	0	126	147	0	0	184	0	0	102	191	114	196	0	0	0	0	0	0	0	0	0	0	0	142	0
ZNF326	49.052632	638	578	245	0	0	0	180	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC4L	49.052632	0	111	0	0	0	0	0	0	328	0	0	0	0	0	0	250	539	272	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0
DDX51	49.052632	0	111	0	0	0	0	0	0	328	0	0	0	0	0	0	250	539	272	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0
TM9SF4	49.000000	183	330	0	0	134	0	421	493	185	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIL4	49.000000	289	336	201	0	0	0	0	0	290	0	0	0	0	0	0	0	304	108	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
EHBP1	49.000000	264	348	0	0	0	0	355	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD50	48.973684	467	589	236	0	0	0	148	0	172	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG1	48.973684	198	219	121	0	0	0	0	157	618	0	0	0	0	0	0	0	0	0	0	92	0	0	159	187	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0
MCL1	48.947368	358	315	0	0	0	0	135	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	117	0	0	0	0	195	216	0	0	0	0	0	0	0	190	0
B3GALT4	48.947368	241	166	0	0	0	0	111	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	577	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT74	48.921053	153	169	96	0	0	0	236	215	112	0	0	0	0	0	0	0	222	0	0	289	0	0	145	136	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRK6	48.921053	351	518	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	236	0	130	0	0	0	0	0	0	0	0	0	0	113	241	0
RXRA	48.894737	0	0	0	0	109	0	0	109	0	0	0	0	0	0	0	0	0	0	0	190	0	0	247	618	131	185	0	0	0	114	0	0	0	0	0	0	0	155	0
CBWD3	48.894737	214	250	155	0	0	0	314	349	285	0	0	0	0	0	0	0	0	0	0	179	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPSM3	48.868421	176	178	96	0	0	0	401	606	143	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
ACAD9	48.868421	205	345	270	0	0	0	0	0	185	0	0	0	0	0	0	0	172	0	0	0	0	0	143	183	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0
SLC12A4	48.815789	103	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	767	247	245	0	0	0	0	0	0	0	0	0	0	0	0	0
MEMO1	48.815789	241	264	146	0	0	0	313	431	84	0	0	0	0	0	0	0	0	0	0	161	0	0	0	116	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2A3	48.815789	0	0	0	0	0	0	557	805	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R16B	48.789474	0	0	0	0	0	0	419	429	448	0	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAND1	48.736842	211	283	147	0	0	0	446	343	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
CASC3	48.736842	286	367	193	0	0	0	0	0	0	0	0	170	268	0	0	0	0	0	0	194	0	0	106	177	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0
BASP1	48.736842	213	111	0	0	0	0	72	155	0	0	401	382	320	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LATS1	48.710526	396	647	255	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	253	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8	48.684211	295	382	150	0	0	0	94	108	107	0	0	0	0	0	0	0	0	0	0	0	0	0	112	102	0	0	0	0	239	261	0	0	0	0	0	0	0	0	0
FZD1	48.684211	194	239	134	0	0	0	144	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	266	430	0
SLC12A2	48.657895	300	392	151	0	0	0	266	384	190	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPT1	48.631579	269	287	120	0	0	0	106	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	162	299	0	162	0	0	0	73	0	0	0	0	0	0	0	228	0
HLCS	48.631579	417	519	135	0	0	0	233	275	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPN	48.631579	290	251	213	0	0	0	0	451	264	0	0	0	0	0	0	0	0	0	0	135	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0
NSD2	48.605263	629	762	222	0	0	0	119	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUT1	48.578947	0	134	0	0	0	0	237	121	605	0	0	0	0	0	0	0	167	77	103	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0
TSC22D4	48.578947	106	158	0	0	133	114	410	644	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM154	48.578947	0	0	0	0	0	0	528	544	0	0	0	0	0	0	0	0	0	0	0	88	0	0	245	281	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0
KCTD9	48.526316	226	257	137	0	0	0	99	218	138	0	0	0	0	0	0	0	0	0	0	258	0	0	161	232	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA2	48.526316	226	257	137	0	0	0	99	218	138	0	0	0	0	0	0	0	0	0	0	258	0	0	161	232	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP9	48.500000	450	334	206	0	0	0	145	299	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF14	48.500000	319	447	129	0	0	0	382	341	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N6AMT1	48.500000	464	725	383	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPP	48.473684	186	214	0	0	0	0	255	318	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	261	411	0
SRSF1	48.447368	368	479	501	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCUN1D3	48.447368	334	379	163	0	0	0	220	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0
XBP1	48.394737	341	428	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	181	163	197	0	0	158	0	0	0	0	0	0	0	0	0	0
HUS1	48.394737	491	469	266	0	0	0	203	154	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMAP1	48.394737	494	597	229	0	0	0	0	99	180	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLCAP	48.394737	332	325	194	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	162	389	126	174	0	0	0	0	0	0	0	0	0	0	0	0	0
TDP2	48.368421	167	316	0	0	0	0	388	604	169	0	0	0	0	0	0	0	0	0	73	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	48.368421	167	316	0	0	0	0	388	604	169	0	0	0	0	0	0	0	0	0	73	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAC1	48.342105	0	232	0	0	0	0	525	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	198	0	105	0	0	0	0	0	0	0	0	0	0	0	108	0
GOLGB1	48.315789	587	614	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF2	48.289474	203	367	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	519	143	205	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT1	48.289474	0	130	0	0	0	0	387	965	0	0	0	0	0	0	0	0	197	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX2	48.289474	607	418	118	0	0	0	390	206	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S2	48.289474	241	367	279	0	0	0	142	137	220	0	0	0	0	0	0	0	0	0	0	140	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0
CYBA	48.289474	0	0	0	0	0	0	771	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMZ2	48.289474	328	386	267	0	0	0	286	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0
TBC1D2	48.263158	176	262	0	0	0	0	445	557	191	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RILPL1	48.263158	123	178	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	338	285	360	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT1A6	48.236842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	756	254	240	0	0	0	0	0	0	0	0	0	0	0	0	0
POLD4	48.236842	0	0	0	0	0	0	665	801	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	140	114	0	0	0	0	0	0	0	0	0
ECHDC1	48.236842	254	211	134	0	0	0	594	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPGS1	48.210526	96	127	0	0	0	0	776	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMG7	48.210526	213	283	74	0	0	0	471	357	0	0	0	0	0	0	0	0	272	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF687	48.184211	217	182	0	0	0	0	164	206	0	0	0	0	0	0	0	0	0	0	0	283	0	0	134	246	0	169	0	0	0	0	0	0	0	0	0	0	0	230	0
IPO11	48.184211	178	276	0	0	0	0	0	0	173	0	0	0	0	0	0	102	451	168	199	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0
TMED7-TICAM2	48.157895	353	222	100	0	0	0	237	305	125	0	0	0	0	0	0	0	0	0	0	114	0	0	140	0	0	0	0	0	107	127	0	0	0	0	0	0	0	0	0
TMED7	48.157895	353	222	100	0	0	0	237	305	125	0	0	0	0	0	0	0	0	0	0	114	0	0	140	0	0	0	0	0	107	127	0	0	0	0	0	0	0	0	0
SMIM15	48.157895	293	357	97	0	0	0	334	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	201	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPHS2	48.157895	338	425	135	0	207	239	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	133	0	0	0	148	0	0	0	0	0	0	0	0	0
NFKBIE	48.157895	153	113	0	0	0	0	725	839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH1	48.157895	380	446	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	294	178	134	0	0	110	0	0	0	0	0	0	0	0	0	0
ABHD5	48.131579	587	483	196	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	106	0	110	0	0	0	0	0	0	0
YBEY	48.105263	483	583	185	0	0	0	116	264	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A36	48.105263	416	543	342	0	120	0	0	0	98	84	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
PRKN	48.105263	463	684	154	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	154	189	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PACRG	48.105263	463	684	154	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	154	189	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM3AP	48.105263	483	583	185	0	0	0	116	264	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf69	48.105263	353	357	137	0	0	0	274	359	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCD2	48.078947	140	231	93	0	0	0	0	0	172	0	0	0	0	0	0	131	502	171	195	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
PPP1R12A	48.052632	354	458	235	0	0	0	273	296	101	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN2L	48.052632	181	248	129	0	0	0	358	582	188	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEO1	48.000000	160	96	0	0	0	0	580	705	117	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSE	48.000000	381	495	165	0	0	0	257	368	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TM7SF3	47.973684	137	214	0	0	0	0	100	116	223	0	0	0	0	0	0	0	0	0	0	611	0	0	135	152	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0
HIF1A	47.973684	374	509	223	0	0	0	209	214	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1G1	47.973684	148	272	152	0	0	0	181	108	97	0	0	0	0	0	0	0	160	0	0	287	0	0	0	98	0	0	0	0	93	0	0	0	0	0	0	0	0	227	0
RPL9	47.947368	357	280	193	0	0	0	0	73	142	0	0	0	0	0	0	0	159	0	109	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	182	232	0
NRL	47.947368	111	191	0	0	0	86	271	276	101	0	0	0	0	0	0	0	0	0	0	162	0	0	167	191	116	150	0	0	0	0	0	0	0	0	0	0	0	0	0
LIAS	47.947368	357	280	193	0	0	0	0	73	142	0	0	0	0	0	0	0	159	0	109	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	182	232	0
ZC3H6	47.921053	329	516	421	0	0	0	113	125	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLEC	47.921053	257	150	170	0	0	0	391	427	119	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROCK2	47.894737	302	323	0	0	132	130	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	280	143	238	0	0	0	0	0	0	0	0	0	0	0	0	0
USP31	47.868421	188	122	0	0	0	0	270	578	0	204	0	333	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPN2	47.868421	244	407	98	0	0	0	171	247	0	0	0	0	0	0	0	0	0	0	0	124	0	0	121	243	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0
MROH8	47.868421	244	407	98	0	0	0	171	247	0	0	0	0	0	0	0	0	0	0	0	124	0	0	121	243	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID4A	47.868421	158	171	123	0	400	207	375	194	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM10L1	47.842105	334	410	205	0	0	0	107	309	158	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRH1-TAS2R14	47.842105	334	410	205	0	0	0	107	309	158	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRH1	47.842105	334	410	205	0	0	0	107	309	158	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAB1	47.842105	252	195	0	0	0	0	123	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	323	0	185	0	0	0	0	0	0	0	0	0	0	0	316	0
LMNA	47.815789	165	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	398	159	230	0	0	0	0	0	0	0	0	0	0	0	339	0
RNF139	47.789474	352	449	96	0	0	0	0	104	362	0	0	0	0	0	0	0	0	0	0	128	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0
PPP4R3B	47.789474	209	185	125	0	0	0	289	263	528	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0
PDE4B	47.789474	194	203	0	0	129	96	0	0	0	0	189	349	383	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
OMA1	47.789474	637	580	170	0	0	0	0	181	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
GABRA3	47.789474	0	0	0	0	0	0	0	0	0	0	454	372	465	315	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf24	47.789474	484	602	288	0	0	0	105	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL29	47.763158	258	320	226	0	0	0	147	172	389	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAH	47.710526	476	530	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	284	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0
VOPP1	47.710526	198	206	111	0	0	0	314	290	0	0	0	123	0	0	0	0	0	0	0	0	0	0	140	162	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0
UBXN1	47.710526	127	297	113	0	282	155	104	156	122	0	0	0	0	0	0	0	230	0	124	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM128	47.684211	454	478	240	0	0	0	211	256	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TESK2	47.684211	224	285	128	0	0	0	437	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZK1	47.684211	0	0	0	0	0	0	0	0	0	218	0	272	0	0	0	0	0	0	0	0	0	0	306	472	248	296	0	0	0	0	0	0	0	0	0	0	0	0	0
NRDC	47.631579	269	468	184	0	0	0	130	0	166	0	0	0	0	0	0	0	95	0	0	153	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0
MFSD8	47.552632	89	125	0	0	0	0	406	537	205	0	0	0	0	0	0	0	0	0	0	95	0	0	0	278	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
ELOC	47.552632	223	393	171	0	0	0	75	127	258	0	0	0	0	0	0	0	201	0	105	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	47.552632	89	125	0	0	0	0	406	537	205	0	0	0	0	0	0	0	0	0	0	95	0	0	0	278	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
SRSF4	47.526316	598	757	125	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
SASS6	47.500000	137	251	115	0	0	0	402	573	197	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAR1A	47.500000	387	364	251	0	0	0	123	113	106	0	0	0	0	0	0	0	0	0	0	125	0	0	85	175	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
POC5	47.500000	160	303	0	0	0	0	333	437	96	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0
TMX1	47.473684	354	403	208	0	0	0	399	317	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANP	47.473684	282	446	0	0	0	0	0	0	788	0	0	0	0	0	0	0	200	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSPH3	47.447368	303	348	303	0	0	0	176	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	98	180	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRK2	47.447368	278	499	100	0	0	0	469	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAL	47.447368	116	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	139	0	106	0	0	0	0	0	0	0	0	0	0	399	814	0
